ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
sp|Q9NYU2|Positive_0	Endoplasmic_reticulum	0.6209	0.0122	0.0174	0.0058	0.0087	0.0208	0.7662	0.0025	0.1206	0.0444	0.0013
sp|Q9JLA3|Positive_0	Endoplasmic_reticulum	0.4383	0.0034	0.002	0.0069	0.0051	0.0046	0.8654	0.0003	0.0664	0.0459	0.0001
sp|Q6P5E4|Positive_0	Endoplasmic_reticulum	0.3058	0.015	0.0293	0.0143	0.014	0.0083	0.7595	0.0024	0.0551	0.0981	0.0041
sp|Q9NYU1|Positive_0	Endoplasmic_reticulum	0.1861	0.0053	0.0582	0.0468	0.0247	0.0023	0.7865	0.0011	0.0199	0.0518	0.0034
sp|P22023|Positive_1	Endoplasmic_reticulum	0.1952	0.0018	0.0047	0.0988	0.0044	0.0007	0.8608	0.0001	0.002	0.0264	0.0001
sp|P25365|Positive_2	Cytoplasm	0.4719	0.0633	0.2416	0.0016	0.0361	0.1655	0.1901	0.0078	0.1186	0.139	0.0363
sp|Q9BZQ6|Positive_3	Endoplasmic_reticulum	0.5034	0.0151	0.0061	0.0169	0.0055	0.0027	0.7423	0.0003	0.1778	0.0332	0.0002
sp|Q2HXL6|Positive_3	Endoplasmic_reticulum	0.2667	0.0009	0.0002	0.0236	0.0009	0.0021	0.8166	0.0001	0.1166	0.0391	0.0
sp|Q556U6|Positive_4	Endoplasmic_reticulum	0.3696	0.0028	0.0018	0.0202	0.0032	0.0032	0.8791	0.0008	0.0787	0.01	0.0001
sp|Q6GQB9|Positive_3	Endoplasmic_reticulum	0.1707	0.0064	0.0075	0.0813	0.0032	0.0071	0.8115	0.0002	0.0315	0.0511	0.0002
sp|P36016|Positive_5	Endoplasmic_reticulum	0.3511	0.0015	0.0015	0.0443	0.0196	0.0013	0.8119	0.0005	0.1042	0.0151	0.0001
sp|F4JMJ1|Positive_6	Endoplasmic_reticulum	0.0984	0.0002	0.0004	0.1643	0.0011	0.0011	0.8264	0.0001	0.0004	0.0058	0.0
sp|Q10061|Positive_7	Endoplasmic_reticulum	0.1903	0.0101	0.0139	0.0353	0.0198	0.0018	0.8765	0.0014	0.0209	0.0201	0.0002
sp|Q9STX5|Positive_8	Endoplasmic_reticulum	0.1834	0.002	0.0005	0.0094	0.0016	0.0004	0.9482	0.0001	0.0292	0.0085	0.0
sp|P35016|Positive_8	Endoplasmic_reticulum	0.2272	0.0038	0.0019	0.0391	0.0073	0.0089	0.8783	0.0014	0.0198	0.0393	0.0001
sp|P36183|Positive_8	Endoplasmic_reticulum	0.0528	0.0001	0.0001	0.0336	0.0002	0.0001	0.9593	0.0	0.0012	0.0055	0.0
sp|Q95M18|Positive_9	Endoplasmic_reticulum	0.0563	0.0001	0.0002	0.1488	0.0005	0.0003	0.8447	0.0	0.0004	0.005	0.0
sp|P41148|Positive_9	Endoplasmic_reticulum	0.057	0.0001	0.0002	0.1433	0.0005	0.0003	0.8507	0.0	0.0004	0.0046	0.0
sp|Q29092|Positive_9	Endoplasmic_reticulum	0.0651	0.0001	0.0002	0.1624	0.0005	0.0002	0.8324	0.0	0.0004	0.0037	0.0
sp|Q4R520|Positive_9	Endoplasmic_reticulum	0.0568	0.0001	0.0002	0.1403	0.0005	0.0003	0.8538	0.0	0.0005	0.0044	0.0
sp|Q5R6F7|Positive_9	Endoplasmic_reticulum	0.0567	0.0001	0.0002	0.1385	0.0005	0.0003	0.8555	0.0	0.0004	0.0046	0.0
sp|Q66HD0|Positive_9	Endoplasmic_reticulum	0.1392	0.0001	0.0002	0.1149	0.0005	0.0003	0.8803	0.0	0.0013	0.0023	0.0
sp|P14625|Positive_9	Endoplasmic_reticulum	0.0561	0.0001	0.0002	0.1398	0.0005	0.0002	0.8544	0.0	0.0004	0.0044	0.0
sp|P08113|Positive_9	Endoplasmic_reticulum	0.1363	0.0001	0.0003	0.1067	0.0006	0.0002	0.8882	0.0	0.0013	0.0025	0.0
sp|Q6NRT6|Positive_10	Endoplasmic_reticulum	0.4332	0.0008	0.0011	0.0276	0.0023	0.0013	0.5299	0.0001	0.3213	0.1156	0.0001
sp|P08110|Positive_9	Endoplasmic_reticulum	0.0148	0.0001	0.0004	0.1952	0.0003	0.0	0.7999	0.0	0.0001	0.0041	0.0
sp|Q498R3|Positive_10	Endoplasmic_reticulum	0.3652	0.0027	0.0037	0.0191	0.0044	0.0143	0.6794	0.0002	0.1373	0.1383	0.0007
sp|Q5R5L3|Positive_10	Endoplasmic_reticulum	0.3654	0.0037	0.0067	0.0234	0.0059	0.0135	0.761	0.0003	0.082	0.1031	0.0004
sp|Q9DC23|Positive_10	Endoplasmic_reticulum	0.3075	0.0027	0.0037	0.0191	0.0033	0.0118	0.7393	0.0002	0.0918	0.1276	0.0004
sp|Q8IXB1|Positive_10	Endoplasmic_reticulum	0.3641	0.0046	0.0072	0.0265	0.0055	0.0131	0.747	0.0002	0.0857	0.1096	0.0005
sp|Q9NKX1|Positive_9	Endoplasmic_reticulum	0.1216	0.0002	0.0003	0.0693	0.0005	0.0003	0.9113	0.0	0.0074	0.0106	0.0
sp|Q3V1T4|Positive_11	Endoplasmic_reticulum	0.0365	0.0002	0.0008	0.2961	0.0021	0.0005	0.6357	0.0001	0.001	0.0635	0.0
sp|Q32P28|Positive_11	Endoplasmic_reticulum	0.016	0.0002	0.0011	0.3563	0.0012	0.0005	0.5542	0.0	0.0004	0.086	0.0
